neighborhood,price,beds,baths,toilets,extra
PIPELINE ROAD OZUOBAPort Harcourt Rivers,"₦ 270,000",2 beds,0 baths,0 Toilets,['']
AT VALLEY VIEW ESTATE OFF TANKObia Akpor Port Harcourt Rivers,"₦ 500,000",2 beds,0 baths,0 Toilets,['']
"OZUOBA, AKPOR GRAMMAR SCHOOLPort Harcourt Rivers","₦ 180,000",1 beds,0 baths,0 Toilets,['']
AIRPORT ROADRupkpokwu Port Harcourt Rivers,"₦ 400,000",2 beds,2 baths,0 Toilets,['']
RUMUODARAPort Harcourt Rivers,"₦ 170,000",1 beds,1 baths,0 Toilets,['']
"Arcania,Ada GeorgeAda George Port Harcourt Rivers","₦ 400,000",3 beds,2 baths,2 Toilets,['']
...Trans Amadi Port Harcourt Rivers,"₦ 800,000",0 beds,0 baths,0 Toilets,['']
Trans Amadi Port Harcourt Rivers,"₦ 2,000,000",beds, baths, Toilets,['']
Trans Amadi Port Harcourt Rivers,"₦ 2,500,000",beds, baths, Toilets,['']
Trans Amadi Port Harcourt Rivers,"₦ 2,500,000",beds, baths, Toilets,['']
Trans Amadi Port Harcourt Rivers,"₦ 600,000",beds, baths, Toilets,['']
Trans Amadi Port Harcourt Rivers,"₦ 600,000",beds, baths, Toilets,['']
Trans Amadi Port Harcourt Rivers,"₦ 250,000",beds, baths, Toilets,['']
Trans Amadi Port Harcourt Rivers,"₦ 500,000",beds, baths, Toilets,['']
Trans Amadi Port Harcourt Rivers,"₦ 1,100,000",3 beds,3 baths, Toilets,['']
Trans Amadi Port Harcourt Rivers,"₦ 430,000",beds, baths, Toilets,['']
....Trans Amadi Port Harcourt Rivers,"₦ 1,000,000",3 beds,0 baths,0 Toilets,['']
-Trans Amadi Port Harcourt Rivers,"₦ 1,500,000",3 beds,3 baths, Toilets,['']
Eliozu Port Harcourt Rivers,"₦ 800,000",beds, baths, Toilets,['']
...Trans Amadi Port Harcourt Rivers,"₦ 1,100,000",3 beds,3 baths,0 Toilets,['']
Trans Amadi Port Harcourt Rivers,"₦ 600,000",beds, baths, Toilets,['']
- Trans Amadi Port Harcourt Rivers,"₦ 750,000",0 beds,0 baths,0 Toilets,['']
Trans Amadi Port Harcourt Rivers,"₦ 1,000,000",3 beds,3 baths, Toilets,['']
...Trans Amadi Port Harcourt Rivers,"₦ 1,600,000",3 beds,3 baths,0 Toilets,['']
Trans Amadi Port Harcourt Rivers,"₦ 2,500,000",beds, baths, Toilets,['']
Trans Amadi Port Harcourt Rivers,"₦ 900,000",beds, baths, Toilets,['']
Trans Amadi Port Harcourt Rivers,"₦ 400,000",1 beds, baths, Toilets,['']
...Trans Amadi Port Harcourt Rivers,"₦ 500,000",0 beds,0 baths,0 Toilets,['']
- Trans Amadi Port Harcourt Rivers,"₦ 1,000,000",0 beds,0 baths,0 Toilets,['']
Trans Amadi Port Harcourt Rivers,"₦ 550,000",beds, baths, Toilets,['']
Trans Amadi Port Harcourt Rivers,"₦ 600,000",beds, baths, Toilets,['']
Trans Amadi Port Harcourt Rivers,"₦ 800,000",beds, baths, Toilets,['']
Eliozu Port Harcourt Rivers,"₦ 1,000,000",2 beds, baths, Toilets,['']
Eliozu Port Harcourt Rivers,"₦ 800,000",beds, baths, Toilets,['']
-Trans Amadi Port Harcourt Rivers,"₦ 1,200,000",0 beds,0 baths,0 Toilets,['']
Trans Amadi Port Harcourt Rivers,"₦ 400,000",beds, baths, Toilets,['']
Off Unity fuel StationEliozu Port Harcourt Rivers,"₦ 700,000",4 beds,4 baths,5 Toilets,['']
...Port Harcourt Rivers,"₦ 350,000",1 beds,2 baths,2 Toilets,['Furnished']
Airport road no 61Rupkpokwu Port Harcourt Rivers,"₦ 400,000",2 beds,2 baths,2 Toilets,['Newly Built']
"Golf Estate, end of Peter Odili RoadTrans Amadi Port Harcourt Rivers","₦ 35,000",2 beds,2 baths,2 Toilets,"['Furnished', 'Serviced']"
"Road 7, New Road, Off Location Road,Ada George Port Harcourt Rivers","₦ 400,000",1 beds,2 baths,2 Toilets,['Serviced']
Within Rupukwu Eneka Rd...Obio Akpor Rivers,"₦ 400,000",2 beds,3 baths,3 Toilets,"['Furnished', 'Serviced']"
Okporo streetObia Akpor Port Harcourt Rivers,"₦ 550,000",3 beds,3 baths,3 Toilets,['']
Number 55 road 8Rumuokwurushi Port Harcourt Rivers,"₦ 720,000",2 beds,2 baths, 3 Toilets,['Furnished']
Woji Port Harcourt Rivers,"₦ 750,000",1 beds,2 baths,2 Toilets,"['Serviced', 'Newly Built']"
RumuodaraPort Harcourt Rivers,"₦ 800,000",3 beds,4 baths,4 Toilets,['']
Off peter odili roadTrans Amadi Port Harcourt Rivers,"₦ 1,400,000",3 beds,4 baths,4 Toilets,['Newly Built']
"N0.3 DR.ANJU CLOSE, OFF CHIEF UMEH STREET, AGIP ESTATE EXTENTION, RUMUEME, PORT HARCOURTDiobu Mile 4 Port Harcourt Rivers","₦ 800,000",3 beds,2 baths,2 Toilets,['']
 Shell Co-operativeEneka Port Harcourt Rivers,"₦ 800,000",2 beds,3 baths,3 Toilets,['']
