neighborhood,price,beds,baths,toilets,extra
RUMUDURUEneka Port Harcourt Rivers,"₦ 500,000",2 beds,0 baths,0 Toilets,"To let: a well finished 2 bedroom flat in eneka road, rumunduru. Price: 500k.. "
HILLTOP ESTATE OFF EMMANUEL ROAD BY ODILI ROAD Trans Amadi Port Harcourt Rivers,"₦ 1,200,000",3 beds,0 baths,0 Toilets,"DINING AREA, PRE PAID METER, TILED FLOOR, POP CEILING, HOT WATER, KITCHEN CABINE.. "
PETER ODILI ROADTrans Amadi Port Harcourt Rivers,"₦ 1,500,000",3 beds,0 baths,0 Toilets,"TILED FLOOR, POP CEILING, WI-FI, HOT WATER, 24 HOURS ELECTRICITY, PRE PAID METER.. "
mini avenue behind NTAPort Harcourt Rivers,"₦ 350,000",1 beds,0 baths,0 Toilets,Very neat 1 bedroom apartment for rent @ mini avenue behind NTA ??master bedro.. 
SARS ROAD FREEDOM ESTATEObio Akpor Rivers,"₦ 800,000",2 beds,0 baths,0 Toilets,A luxury and good accesible 2 bedroom with good road network for rent at sars ro.. 
G R A PHASE 2Port Harcourt Rivers,"₦ 1,700,000",2 beds,0 baths,0 Toilets,This is a standard 2 bedroom apartment with a nice environment and have not used.. 
-Ada George Port Harcourt Rivers,"₦ 500,000",2 beds,0 baths,0 Toilets,"This brand new 2 bedroom apartment is located at ada george, it has good access .. "
RUMUOGUNUMAEneka Port Harcourt Rivers,"₦ 150,000",1 beds,1 baths,1 Toilets,there is light steady water supply good security fenced compound with gate.. 
- Eliozu Port Harcourt Rivers,"₦ 550,000",3 beds,0 baths,0 Toilets,"3 bedroom flat for rent at eliozu port harcourt. All rooms are en suite, with vi.. "
NEW LAYOUT ESTATE OFF RUMUOKWURUSI TANKRumuokwurushi Port Harcourt Rivers,"₦ 450,000",2 beds,0 baths,0 Toilets,"To let in port harcourt nigeria standard two bedroom flat, all rooms ensuite wi.. "
NEW ROADAda George Port Harcourt Rivers,"₦ 400,000",2 beds,0 baths,0 Toilets,Very standard 2 bedroom apartment for rent ada george ??all rooms ensuit with m.. 
OFF NEW ROADAda George Port Harcourt Rivers,"₦ 400,000",2 beds,0 baths,0 Toilets,a standard 2 bedroom apartment for rent at ada george axis of port Harcourt.. 
"OKPORO STR, ALONG OZUOBA RUMUOSI ROADPort Harcourt Rivers","₦ 270,000",1 beds,0 baths,0 Toilets,"HOT WATER, BALCONY, DINING AREA, DISHWASHER, TILED FLOOR, WARDROBE, PRE PAID MET.. "
SHELL CORPERATIVE ESTATEPort Harcourt Rivers,"₦ 1,000,000",2 beds,0 baths,0 Toilets,An european standard two bedroom duplex\ flats to let with federal light at shel.. 
