neighborhood,price,beds,baths,toilets,extra
"Heritage Estate ,off AkalaAkala Express Ibadan Oyo","₦ 500,000",2 beds,2 baths,3 Toilets,['']
"Sharp corner, Johnson Awe, OluyoleOluyole Estate Ibadan Oyo","₦ 400,000",3 beds,3 baths,4 Toilets,['']
"Commodore hotel area ,Elebu Akala Express Ibadan Oyo","₦ 500,000",3 beds,3 baths,4 Toilets,['Newly Built']
Mokola housing EstateIbadan Polytechnic University Of Ibadan Ibadan Oyo,"₦ 600,000",2 beds,2 baths,3 Toilets,['Newly Built']
Wema bank axis off Iwo roadIwo Rd Ibadan Oyo,"₦ 300,000",3 beds,3 baths,2 Toilets,['Newly Built']
Behind Christ High School Akala Express Ibadan Oyo,"₦ 450,000",3 beds,3 baths,4 Toilets,['']
" osagin area, ajibode ibadan Ibadan Polytechnic University Of Ibadan Ibadan Oyo","₦ 160,000",1 beds,1 baths,1 Toilets,['Newly Built']
"Ashipa, off akala express, ibadan Akala Express Ibadan Oyo","₦ 350,000",0 beds,2 baths,2 Toilets,['Newly Built']
"Harmony estate,Aafin yanu in Ologuneru Eleyele Ibadan Oyo","₦ 300,000",1 beds,1 baths,1 Toilets,['Newly Built']
Behind Duttob filing station on the tarred road Akala Express Ibadan Oyo,"₦ 250,000",1 beds,1 baths,1 Toilets,['']
Felele Challenge Ibadan Oyo,"₦ 300,000",1 beds,1 baths,1 Toilets,['Newly Built']
Johnson Awe street Apata Ibadan Oyo,"₦ 400,000",3 beds,3 baths,3 Toilets,['']
Felele Challenge Ibadan Oyo,"₦ 250,000",1 beds,1 baths,1 Toilets,['Newly Built']
 Opposite Carlton gate EstateAkobo Ibadan Oyo,"₦ 500,000",3 beds,3 baths,4 Toilets,['Newly Built']
Aerodome GraSamonda Ibadan Oyo,"₦ 1,000,000",2 beds,2 baths,3 Toilets,['Newly Built']
"Liberty academy, off akala expressAkala Express Ibadan Oyo","₦ 350,000",2 beds,2 baths,3 Toilets,['Newly Built']
Akuru in Elebu Akala Express Ibadan Oyo,"₦ 300,000",1 beds,1 baths,1 Toilets,['']
Akoto estate in elebu Akala Express Ibadan Oyo,"₦ 250,000",1 beds,1 baths,2 Toilets,['']
Fodacis Ring Rd Ibadan Oyo,"₦ 200,000",1 beds,1 baths,1 Toilets,['']
Oluyole Oluyole Estate Ibadan Oyo,"₦ 600,000",3 beds,3 baths,3 Toilets,['']
"Akala Estate, AkoboAkobo Ibadan Oyo","₦ 750,000",2 beds,2 baths,3 Toilets,['Newly Built']
"Unity estate, OloguneruEleyele Ibadan Oyo","₦ 350,000",2 beds,2 baths,3 Toilets,['Newly Built']
"Ajila, elebu, oluyole extension, ibadanAkala Express Ibadan Oyo","₦ 450,000",2 beds,2 baths,3 Toilets,['Newly Built']
"Iyaganku GRA, ibadan, oyo stateIyanganku Ibadan Oyo","₦ 1,000,000",3 beds,3 baths,4 Toilets,['']
Ire Akari estateAkala Express Ibadan Oyo,"₦ 700,000",3 beds,3 baths,4 Toilets,['Newly Built']
"Akala Way, AkoboAkobo Ibadan Oyo","₦ 400,000",3 beds,3 baths,4 Toilets,['Newly Built']
Eleshinmeta area Apata Ibadan Oyo,"₦ 350,000",3 beds,3 baths,4 Toilets,['Newly Built']
"Akuru, elebu, oluyole extension, ibadan Akala Express Ibadan Oyo","₦ 600,000",3 beds,3 baths,4 Toilets,['Newly Built']
"Ajila road 1,ElebuAkala Express Ibadan Oyo","₦ 500,000",3 beds,3 baths,4 Toilets,['Newly Built']
Odubiyi street Eleyele Ibadan Oyo,"₦ 220,000",1 beds,1 baths,1 Toilets,['']
Heritage estate behind ZartecAkala Express Ibadan Oyo,"₦ 600,000",2 beds,2 baths,3 Toilets,['Newly Built']
Kasunmu estate Akala Express Ibadan Oyo,"₦ 280,000",1 beds,1 baths,1 Toilets,['Newly Built']
Alaaka after Icast school in elebu Akala Express Ibadan Oyo,"₦ 250,000",1 beds,1 baths,1 Toilets,['Newly Built']
Akoto Estate first gate before Icast SchoolAkala Express Ibadan Oyo,"₦ 450,000",2 beds,2 baths,3 Toilets,['Newly Built']
"Aba pan,Kuola Akala Express Ibadan Oyo","₦ 170,000",1 beds,1 baths,1 Toilets,['Newly Built']
"Behind beeshop, off akala express, elewure, ibadan Akala Express Ibadan Oyo","₦ 800,000",2 beds, 2 baths,3 Toilets,"['Furnished', 'Newly Built']"
Military estate opposite polo club Jericho Ibadan Oyo,"₦ 200,000",1 beds,1 baths,1 Toilets,['']
Akoto in elebu Akala Express Ibadan Oyo,"₦ 250,000",1 beds,1 baths,1 Toilets,['Newly Built']
Oluyole Main estateOluyole Estate Ibadan Oyo,"₦ 600,000",3 beds,2 baths,2 Toilets,['']
Close to Richbam filing station Akala Express Ibadan Oyo,"₦ 250,000",1 beds,1 baths,1 Toilets,['Newly Built']
"Ajadi area,Ologuneru Eleyele Ibadan Oyo","₦ 600,000",3 beds,3 baths,4 Toilets,['Newly Built']
Iletuntun after nihort school Idishin Ibadan Oyo,"₦ 300,000",1 beds,1 baths,1 Toilets,['Newly Built']
"Elebu, akala express ibadan Akala Express Ibadan Oyo","₦ 600,000",3 beds,4 baths,4 Toilets,['Newly Built']
"Akoto Estate, ElebuAkala Express Ibadan Oyo","₦ 600,000",3 beds,3 baths,4 Toilets,['Newly Built']
opposite richbam filling stationAkala Express Ibadan Oyo,"₦ 500,000",2 beds,2 baths,3 Toilets,['Newly Built']
Iletuntun after nihort school Idishin Ibadan Oyo,"₦ 250,000",1 beds,1 baths,1 Toilets,['Newly Built']
"New Bodija,close to Sunbeam school Bodija Ibadan Oyo","₦ 300,000",1 beds,1 baths,1 Toilets,['Newly Built']
"Opp polo club, jerichoJericho Ibadan Oyo","₦ 600,000",2 beds,3 baths,3 Toilets,['']
"Felele, challenge, ibadan Challenge Ibadan Oyo","₦ 500,000",3 beds,3 baths,4 Toilets,['Newly Built']
Adeoyo GRARing Rd Ibadan Oyo,"₦ 400,000",2 beds,2 baths,3 Toilets,['Newly Built']
Lagelu estate behind Fresh FMChallenge Ibadan Oyo,"₦ 210,000",1 beds,1 baths,1 Toilets,['Newly Built']
"Akuru, Elebu, oluyole extension, ibadanOluyole Estate Ibadan Oyo","₦ 500,000",2 beds,3 baths,3 Toilets,['Newly Built']
Johnson awe Oluyole Estate Ibadan Oyo,"₦ 250,000",1 beds,1 baths,1 Toilets,['Newly Built']
"Heritage zartech, oluyole extension, IbadanOluyole Estate Ibadan Oyo","₦ 500,000",3 beds,3 baths,3 Toilets,['']
Kolapo Ishola GraAkobo Ibadan Oyo,"₦ 800,000",2 beds,2 baths,3 Toilets,['Newly Built']
Kasumu estate off tipper garageAkala Express Ibadan Oyo,"₦ 450,000",2 beds,2 baths,3 Toilets,['Newly Built']
Kolapo Ishola GraAkobo Ibadan Oyo,"₦ 900,000",2 beds,2 baths,3 Toilets,['Newly Built']
"Akala Way, AkoboAkobo Ibadan Oyo","₦ 650,000",3 beds,3 baths,4 Toilets,['Newly Built']
"Akoto Estate, ElebuAkala Express Ibadan Oyo","₦ 500,000",3 beds,3 baths,4 Toilets,['Newly Built']
"Behind 1st bank, Magazine roadJericho Ibadan Oyo","₦ 1,250,000",3 beds,3 baths,4 Toilets,['']
Close to 360 lounge off akala express Akala Express Ibadan Oyo,"₦ 220,000",1 beds,1 baths,2 Toilets,['Newly Built']
 Cele rainbow along kasumu road off tipper garage Akala Express Ibadan Oyo,"₦ 500,000",3 beds,3 baths,4 Toilets,['Newly Built']
"Orita merin,Elebu Akala Express Ibadan Oyo","₦ 250,000",1 beds,1 baths,1 Toilets,['Newly Built']
" Adeyi area,Old BodijaBodija Ibadan Oyo","₦ 1,500,000",3 beds,3 baths,4 Toilets,['']
"Orita Merin area,ElebuAkala Express Ibadan Oyo","₦ 420,000",3 beds,3 baths,4 Toilets,['']
Eleshinmeta area Apata Ibadan Oyo,"₦ 250,000",2 beds,2 baths,3 Toilets,['Newly Built']
Challenge area Challenge Ibadan Oyo,"₦ 350,000",2 beds,2 baths,3 Toilets,['Newly Built']
"Orange gate, oluyoleOluyole Estate Ibadan Oyo","₦ 600,000",2 beds,2 baths,3 Toilets,['Newly Built']
Akilapa estate after nihort school Jericho Ibadan Oyo,"₦ 250,000",1 beds,1 baths,1 Toilets,['']
AareOluyole Estate Ibadan Oyo,"₦ 250,000",1 beds,1 baths,1 Toilets,['']
Alalubosa GRA ibadanAlalubosa Ibadan Oyo,"₦ 800,000",2 beds,2 baths,3 Toilets,['Newly Built']
"Close to top one gardens, new garage Challenge Ibadan Oyo","₦ 250,000",1 beds,1 baths,1 Toilets,['Newly Built']
"Akoto Estate, ElebuAkala Express Ibadan Oyo","₦ 600,000",3 beds,3 baths,3 Toilets,['Newly Built']
Off Akala expressAkala Express Ibadan Oyo,"₦ 800,000",4 beds,4 baths,5 Toilets,['']
Apapa EstateMoniya Ibadan Oyo,"₦ 350,000",3 beds,3 baths,4 Toilets,['Newly Built']
Idi-Ishin MainIdishin Ibadan Oyo,"₦ 600,000",2 beds,2 baths,3 Toilets,['Newly Built']
"Akala Estate, AkoboAkobo Ibadan Oyo","₦ 500,000",2 beds,2 baths,3 Toilets,['Newly Built']
Segola close to 360 lounge Akala Express Ibadan Oyo,"₦ 220,000",1 beds,1 baths,1 Toilets,['Newly Built']
Gbekuba Idishin Ibadan Oyo,"₦ 200,000",1 beds,1 baths,1 Toilets,['Newly Built']
Alaaka after Icast school in elebu Akala Express Ibadan Oyo,"₦ 250,000",1 beds,1 baths,2 Toilets,['Newly Built']
Green gate estate oluyoleOluyole Estate Ibadan Oyo,"₦ 1,000,000",3 beds,3 baths,4 Toilets,['Newly Built']
 Peluseriki estate behind Ire AkariAkala Express Ibadan Oyo,"₦ 700,000",3 beds,3 baths,4 Toilets,['Newly Built']
" after Icast School,ElebuAkala Express Ibadan Oyo","₦ 650,000",3 beds,3 baths,4 Toilets,['Newly Built']
"Heritage zartech, oluyole extension, ibadanOluyole Estate Ibadan Oyo","₦ 450,000",3 beds,3 baths,3 Toilets,['Newly Built']
Aare areaBodija Ibadan Oyo,"₦ 650,000",2 beds,2 baths,3 Toilets,['Newly Built']
"Oluyole estate, ibadan Oluyole Estate Ibadan Oyo","₦ 800,000",3 beds,3 baths,4 Toilets,['']
Ashipa on the tarred road Akala Express Ibadan Oyo,"₦ 200,000",1 beds,1 baths,1 Toilets,['']
Kuola area Akala Express Ibadan Oyo,"₦ 170,000",1 beds,1 baths,1 Toilets,['Newly Built']
"Military estate opposite polo club, Jericho Jericho Ibadan Oyo","₦ 200,000",1 beds,1 baths,1 Toilets,['']
Wakajajay off Iyana church.Iwo Rd Ibadan Oyo,"₦ 230,000",3 beds,3 baths,4 Toilets,['']
"Elebu, Oluyole extension Akala Express Ibadan Oyo","₦ 400,000",2 beds,2 baths,3 Toilets,['']
"Aduloju, Ojoo.Ojoo Ibadan Oyo","₦ 120,000",1 beds,1 baths,1 Toilets,['']
Pipe line Akala Express Ibadan Oyo,"₦ 350,000",3 beds,3 baths,4 Toilets,['']
OjurinAkobo Ibadan Oyo,"₦ 250,000",3 beds,0 baths,0 Toilets,['']
ELEBU OLUYOLE EXTENSIONOluyole Estate Ibadan Oyo,"₦ 600,000",3 beds,0 baths,0 Toilets,['']
"ADEOYO HOSPITAL ROAD, OFF RING ROADAdeoyo Ibadan Oyo","₦ 420,000",3 beds,0 baths,0 Toilets,['']
ologuneruIbadan Oyo,"₦ 250,000",1 beds,1 baths,1 Toilets,['']
-Soka Ibadan Oyo,"₦ 500,000",3 beds,0 baths,0 Toilets,['']
"After Ashipa, off Akala express wayAkala Express Ibadan Oyo","₦ 300,000",2 beds,0 baths,0 Toilets,['']
ZIONIST ESTATE OFF AKALA EXPRESSAkala Express Ibadan Oyo,"₦ 500,000",3 beds,0 baths,0 Toilets,['']
CELE IWO ROADIwo Rd Ibadan Oyo,"₦ 200,000",1 beds,0 baths,0 Toilets,['']
ADEJUMO AREA JERICHO NIHORTJericho Ibadan Oyo,"₦ 350,000",3 beds,0 baths,0 Toilets,['']
-Ojoo Ibadan Oyo,"₦ 250,000",2 beds,0 baths,0 Toilets,['']
BEHIND WEMA ALONG NEW GBAGI MARKET NEW IFE ROADIbadan Oyo,"₦ 150,000",2 beds,0 baths,0 Toilets,['']
"Ayegoro, OFF KOLAPO ISHOLA GRAIbadan Oyo","₦ 300,000",2 beds,0 baths,0 Toilets,['']
-Ajibode Ibadan Oyo,"₦ 120,000",1 beds,0 baths,0 Toilets,['']
"AJANLA STREET, IREPODUN ESTATE BY AKALA EXPRESS,Akala Express Ibadan Oyo","₦ 350,000",3 beds,0 baths,0 Toilets,['']
OLUKOTUN AKOBO OJURINAkobo Ibadan Oyo,"₦ 250,000",2 beds,0 baths,0 Toilets,['']
"ABESE, ELEBUIbadan Oyo","₦ 350,000",0 beds,0 baths,0 Toilets,['']
OLOUNDE OLOGUNERUIbadan Oyo,"₦ 350,000",2 beds,0 baths,0 Toilets,['']
"AKURU, AKALA EXPRESSWAY, OLUYOLE EXTENSION, Oluyole Estate Ibadan Oyo","₦ 700,000",3 beds,0 baths,0 Toilets,['']
ELEPE ARULOGUN ROADOjoo Ibadan Oyo,"₦ 200,000",2 beds,0 baths,0 Toilets,['']
"AKOTO ESTATE, ELEBU OFF AKALA EXPRESSAkala Express Ibadan Oyo","₦ 600,000",3 beds,0 baths,0 Toilets,['']
SOLAM AREA Oluyole Estate Ibadan Oyo,"₦ 600,000",2 beds,0 baths,0 Toilets,['']
"KUOLA ADEDAYO, AKALA EXPRESS ROAD Akala Express Ibadan Oyo","₦ 300,000",3 beds,0 baths,0 Toilets,['']
"Elewure, Off Akala expressAkala Express Ibadan Oyo","₦ 140,000",1 beds,0 baths,0 Toilets,['']
ADAMAWA IDI OYA OFF AKALA EXPRESSAkala Express Ibadan Oyo,"₦ 250,000",2 beds,0 baths,0 Toilets,['']
OritaChallenge Ibadan Oyo,"₦ 350,000",3 beds,0 baths,0 Toilets,['']
IYANA AGBALAIwo Rd Ibadan Oyo,"₦ 300,000",4 beds,0 baths,0 Toilets,['']
"Agbowo, FACING OROGUN MAIN ROADIbadan Oyo","₦ 180,000",1 beds,1 baths,1 Toilets,['']
JAKARTA OFF AKALA EXPRESS WAY ODOONA ELEWEAkala Express Ibadan Oyo,"₦ 350,000",3 beds,0 baths,0 Toilets,['']
GBAGIIbadan Oyo,"₦ 300,000",3 beds,0 baths,0 Toilets,['']
"OLD IFE, CLOSE TO IDI APE BEFORE IWO ROADIwo Rd Ibadan Oyo","₦ 200,000",1 beds,1 baths,2 Toilets,['']
OjurinAkobo Ibadan Oyo,"₦ 250,000",3 beds,0 baths,0 Toilets,['']
AgbowoIbadan Oyo,"₦ 200,000",1 beds,0 baths,0 Toilets,['']
24 BESIDE OPEYEMI OLUNJE WAKAJAYE IYANA CHURCHIbadan Oyo,"₦ 240,000",1 beds,1 baths,0 Toilets,['']
kolapo IsholaIbadan Oyo,"₦ 250,000",2 beds,0 baths,0 Toilets,['']
OJURIN-AKOBOAkobo Ibadan Oyo,"₦ 250,000",3 beds,0 baths,0 Toilets,['']
harmony EstateAkobo Ibadan Oyo,"₦ 300,000",3 beds,0 baths,0 Toilets,['']
"AROUND ZEO HOSPITAL, AFTER RHEMA CHURCH, Oluyole Estate Ibadan Oyo","₦ 250,000",2 beds,0 baths,0 Toilets,['']
-Oluyole Estate Ibadan Oyo,"₦ 200,000",3 beds,0 baths,0 Toilets,['']
ElebuAkala Express Ibadan Oyo,"₦ 600,000",3 beds,0 baths,0 Toilets,['']
ELEBU ORITA MERINIbadan Oyo,"₦ 250,000",1 beds,1 baths,1 Toilets,['']
"3,TUNJI AMOLE CLOSE,ZOE,Oluyole Estate Ibadan Oyo","₦ 400,000",2 beds,0 baths,0 Toilets,['']
BACK OF ICAST ELEBU MOGANA AREAAkala Express Ibadan Oyo,"₦ 400,000",2 beds,0 baths,0 Toilets,['']
OLOHUNDA OFF OJURINAkobo Ibadan Oyo,"₦ 230,000",2 beds,0 baths,0 Toilets,['']
ologuneruIbadan Oyo,"₦ 100,000",1 beds,1 baths,1 Toilets,['']
"NO. 3, WALES LAOYE STREET, ALABAMA, ELEYELE/ SANGO ROADEleyele Ibadan Oyo","₦ 400,000",3 beds,0 baths,0 Toilets,['']
FODACIS AREAIbadan Oyo,"₦ 150,000",1 beds,1 baths,0 Toilets,['']
AKURU ELEBUIbadan Oyo,"₦ 600,000",3 beds,3 baths,0 Toilets,['']
"OLUGBODE, VIA IDI ISHIN- JERICHOJericho Ibadan Oyo","₦ 300,000",3 beds,0 baths,0 Toilets,['']
-Moniya Ibadan Oyo,"₦ 270,000",3 beds,0 baths,0 Toilets,['']
"RICHBAM AREA, OLUYOLE EXTENSIONOluyole Estate Ibadan Oyo","₦ 800,000",3 beds,0 baths,0 Toilets,['']
- Ojoo Ibadan Oyo,"₦ 300,000",3 beds,0 baths,0 Toilets,['']
MONATAN AREAIbadan Oyo,"₦ 200,000",1 beds,1 baths,0 Toilets,['']
Kolapo Ishola Estate Akobo Ibadan Oyo,"₦ 1,800,000",4 beds,4 baths,5 Toilets,['']
"Akuru Estate, ElebuAkala Express Ibadan Oyo","₦ 500,000",2 beds,2 baths,3 Toilets,['']
Akobo Ojurin Ibadan Akobo Ibadan Oyo,"₦ 500,000",2 beds,2 baths,3 Toilets,['']
Alalubosa GRAAlalubosa Ibadan Oyo,"₦ 1,300,000",4 beds,4 baths,5 Toilets,['']
Gbongudu Akobo Ibadan Oyo,"₦ 1,500,000",4 beds,4 baths,5 Toilets,['']
"Oluyole estate, ElebuAkala Express Ibadan Oyo","₦ 600,000",3 beds,3 baths,4 Toilets,['']
"Akala way, Lof GasAkobo Ibadan Oyo","₦ 1,500,000",4 beds,4 baths,5 Toilets,['']
"Ajila, Elebu Akala Express Ibadan Oyo","₦ 500,000",3 beds,3 baths,4 Toilets,['']
"Prince Adebayo Estate, Akala wayAkobo Ibadan Oyo","₦ 750,000",3 beds,3 baths,4 Toilets,['']
Eleyele Akobo Ibadan Oyo,"₦ 500,000",3 beds, baths,4 Toilets,['']
"Ajila, Elebu Oluyole Estate Ibadan Oyo","₦ 450,000",2 beds,3 baths,4 Toilets,['']
"Akoto Estate, Elebu Akala Express Ibadan Oyo","₦ 500,000",3 beds,3 baths,4 Toilets,['']
"Akuru Estate, ElebuAkala Express Ibadan Oyo","₦ 300,000",2 beds,2 baths,3 Toilets,['']
Gbongudu Akobo Ibadan Oyo,"₦ 300,000",2 beds,2 baths,3 Toilets,['']
"Kasumu road, Aba ifeAkobo Ibadan Oyo","₦ 400,000",3 beds,3 baths,4 Toilets,['']
Olukotun Akobo Ibadan Oyo,"₦ 350,000",3 beds,3 baths,4 Toilets,['']
Kuola Street off akala express Akala Express Ibadan Oyo,"₦ 350,000",3 beds, baths,3 Toilets,['']
Odo ona eleweApata Ibadan Oyo,"₦ 400,000",3 beds,3 baths,4 Toilets,['']
Elewuro Estate Akobo Ibadan Oyo,"₦ 500,000",3 beds,3 baths,4 Toilets,['']
"Libra 09,Akala express Akala Express Ibadan Oyo","₦ 350,000",2 beds,2 baths,3 Toilets,['']
Kolapo Ishola Estate Akobo Ibadan Oyo,"₦ 900,000",2 beds,2 baths,3 Toilets,['']
"Bellweather, vulcanizer Akobo Ibadan Oyo","₦ 500,000",3 beds,3 baths,4 Toilets,['']
"Akoto Estate, Elebu Akala Express Ibadan Oyo","₦ 500,000",2 beds,2 baths,3 Toilets,['']
Nickdel Estate Akobo Ibadan Oyo,"₦ 400,000",3 beds,3 baths,4 Toilets,['']
"Akuru Estate, ElebuAkala Express Ibadan Oyo","₦ 450,000",2 beds,2 baths,3 Toilets,['']
Òkè-Ìbàdàn Estate Akobo Ibadan Oyo,"₦ 750,000",4 beds,4 baths,5 Toilets,['']
Zionist Estate Akala Express Ibadan Oyo,"₦ 400,000",2 beds,2 baths,3 Toilets,['']
Okebadan Estate Akobo Ibadan Oyo,"₦ 500,000",3 beds,3 baths,4 Toilets,['']
"Cele rainbow, Akala express Akala Express Ibadan Oyo","₦ 500,000",3 beds,3 baths,4 Toilets,['']
"Jnissi Estate, Akala way, Ibadan Akobo Ibadan Oyo","₦ 500,000",3 beds,3 baths,4 Toilets,['']
Unity estateAkala Express Ibadan Oyo,"₦ 500,000",3 beds,3 baths,4 Toilets,['']
"Akuru Estate, ElebuAkala Express Ibadan Oyo","₦ 450,000",2 beds,2 baths,3 Toilets,['']
Gbongudu Akobo Ibadan Oyo,"₦ 450,000",4 beds,4 baths,5 Toilets,['']
"Atere Long KSumu, ElebuAkobo Ibadan Oyo","₦ 500,000",3 beds,3 baths,4 Toilets,['']
"Harmony Quarters, Elewuro areaAkobo Ibadan Oyo","₦ 400,000",3 beds,3 baths,4 Toilets,['']
Elebu Akala Express Ibadan Oyo,"₦ 700,000",3 beds,2 baths,4 Toilets,['']
"WCCI, Oluyole Akala Express Ibadan Oyo","₦ 450,000",3 beds,3 baths,4 Toilets,['']
"Nickdel Estate, Akobo Ojurin Ibadan Akobo Ibadan Oyo","₦ 400,000",4 beds,4 baths,4 Toilets,['']
Ire Akari Estate Akala Express Ibadan Oyo,"₦ 500,000",3 beds,3 baths,4 Toilets,['']
"Akala way, Akobo Akobo Ibadan Oyo","₦ 450,000",3 beds,3 baths,4 Toilets,['']
"Akala way, Akobo Akobo Ibadan Oyo","₦ 1,500,000",4 beds,4 baths,5 Toilets,['']
