neighborhood,price,beds,baths,extra,state,locality,lga,hood,zipcode
...eleko ibeju lekki lagos,170000,1,1,furnished newly builta room self contain for rent at eleko junction close to express 170k per anum.. ,Lagos,Lekki,Ibeju Lekki,,
...ibeju lekki lagos,700000,1,1,furnished newly builtroom and parlour self contain for rent at destiny home estate abijo close to exp.. ,Lagos,,Ibeju Lekki,,
...ibeju lekki lagos,900000,2,2,furnished newly built2 bedroom flat for rent at destiny home estate abijo close to shoprite 900k per .. ,Lagos,,Ibeju Lekki,,
sangotedo ajah lagos,1600000,3,2,furnished newly built3 bedroom flat for rent at blenco supermarket songotedo very close to express up.. ,Lagos,,Eti Osa,Ajah/Sangotedo,
...ibeju lekki lagos,600000,1,1,furnished newly builtroom and parlour self contain for rent at abijo close to shoprite upstairs 600k .. ,Lagos,,Ibeju Lekki,,
oworokosofe kosofe ikosi lagos,1000000,3,3,"newly builtan executive brand newly built 3bd flat @ oworo, lagos, with all rooms ensuites,.. ",Lagos,Lagos,Kosofe,Gbagada,100242
agudaaguda surulere lagos,800000,1,1,"newly builta brand newly built mini flat @ aguda, surulere, lagos, in a block of flats, wit.. ",Lagos,Lagos,Surulere,Surulere,
in a gated & serene environment in yaba.yaba lagos,1200000,3,2,very spacious 3 bedroom flat with a massive parlour & very large master's bedroo.. ,Lagos,Oworonshoki,Surulere,Yaba,
opebi ikeja lagos,1000000,1,2,this property is located in ikeja at opebi it's consist of a furnished spacious .. ,Lagos,Ikeja,Ikeja,Opebi,
iru settlementoniru victoria island lagos,2000000,2,2,"newly builtthis is the best rental deal! for rent is this absolutely cute, brand new an.. ",Lagos,Lagos,Eti Osa,Victoria Island,
"alagomeji-adekunle, yaba.yaba lagos",1800000,3,3,to let: topnutch 3bedroom apartment with all rooms ensuite. rent: 1.8m ann.. ,Lagos,Lagos,Lagos Mainland,Alagomeji,
...oregun ikeja lagos,1000000,1,1,this property is located in ikeja in a highly secured and serene environment it'.. ,Lagos,Lagos,Ikeja,Oregun,
papa epeepe road epe lagos,300000,3,2,3bedroom flat in a fenced compound in epe town. the property is very clean and .. ,Lagos,Epe,Epe,,106101
jaiyeola ajatta street ajao estate isolo lagos,1200000,3,2,"beautiful, neat and well flowered house in a secured and serene environment .. ",Lagos,Lagos,Oshodi/Isolo,Ajao Estate,
mende maryland lagos,900000,1,2,this property is located in maryland it's consist a standard very spacious mini .. ,Lagos,Lagos,Kosofe,Mende,
lekki phase 2 lekki lagos,1200000,1,1,serviced newly built*just out now!! to let @ lekki * *newly built 1bed/miniflat upstairs / wit pr.. ,Lagos,Lekki,,,
in a serene & gated environment yaba lagos,750000,5,2,lovely 2 bedroom flat in a serene & gated environment. rent: 750k .. ,Lagos,Oworonshoki,Surulere,Yaba,
"close to 3rd mainland bridge, yaba, lagos. yaba lagos",800000,1,1,currently being renovated: spacious miniflat ( one room & parlour) with 2 toi.. ,Lagos,Lagos,Surulere,Yaba,
"by commercial avenue, sabo, yaba ( close to ozone cinemas)sabo yaba lagos",1300000,3,1,3 bedroom flat suitable for commercial/office/residential purpose. located cl.. ,Lagos,Lagos,Lagos Mainland,Sabo yaba,023401
"alagomeji, yaba.alagomeji yaba lagos",1200000,2,2,lovely new 2 bedroom ensuite flat for rent in a gated environment. rent: 1.2.. ,Lagos,Lagos,Lagos Mainland,Alagomeji-Yaba,
"alagomeji-adekunle, close to the 3rd mainland bridge, yaba.yaba lagos",1500000,2,2,lovely new & very spacious executive 2 bedroom flat for rent in alagomeji-adekun.. ,Lagos,,,,
sangotedosangotedo ajah lagos,350000,1,1,"a clean room in a flat, a working class female is needed, no male pls. the hous.. ",Lagos,Sangotedo,Eti Osa,,
"in a gated, serene & serviced estate, adekunle-alagomeji,yaba, lagos.alagomeji yaba lagos",2500000,3,3,to let : executive and lovely 3 bedroom flat with bq in a serviced estate in ade.. ,Lagos,Lagos,Lagos Mainland,Alagomeji-Yaba,
"yaba, lagos. yaba lagos",750000,1,1,lovely new miniflat rent: 750k .. ,Lagos,Oworonshoki,Surulere,Yaba,
orchid road lekki phase 2lekki lagos,1500000,2,2,serviced newly builta newly built 2 bedroom flat is available for rent immediately .. ,Lagos,Lekki,Eti Osa,Lekki Penninsula II,
"in a gated, secure & serene estate in yaba, lagos. yaba lagos",1200000,3,2,"lovely spacious 3 bedroom flat in a gated, secure & serene estate in yaba. wi.. ",Lagos,Lagos,Surulere,Yaba,
onigbogbolsdpc maryland estate maryland lagos,600000,2,2,this property is located in onigbogbo maryland it's consist of a two toilets wit.. ,Lagos,Lagos,Ikeja,Onigbongbo,100211
"in a gated environment close to the 3rd mainland bridge, yaba, lagos. yaba lagos",1600000,3,3,"a fairly used & thoroughly renovated 3bd flat @ yaba, with 3toilets and bath, in.. ",Lagos,Lagos,Lagos Mainland,Ikoyi,
"akoka, yaba.akoka yaba lagos",1100000,2,2,"lovely 2 bedroom all rooms ensuite flat with visitor's toilet, & very spacious l.. ",Lagos,Lagos,,Lagos Mainland,
"sabo, yaba.sabo yaba lagos",600000,1,1,"lovely standard miniflat for rent in sabo, yaba. 600k rent. 1 year rent requi.. ",Lagos,Lagos,Lagos Mainland,Sabo yaba,
...akoka yaba lagos,350000,1,1,this property is located in yaba at akoka contain clean single room selfcon with.. ,Lagos,Lagos,,Lagos Mainland,
...aguda(ogba) ogba lagos,700000,1,1,servicedthis property is located in aguda in a secured and serene environment it's consi.. ,Lagos,Ojodu,Ikeja,Aguda,
sawmillnew garage gbagada lagos,500000,1,1,this property is located in gbagada it's consist of a decent spacious miniflat. .. ,Lagos,Lagos,Shomolu,Somolu,
in a gated & calm environment yaba lagos,2300000,3,3,newly built clasy 3 bedroom all rooms ensuite flat + visitor's toilet. locat.. ,Lagos,Oworonshoki,Surulere,Yaba,
"alagomeji, yaba.alagomeji yaba lagos",1500000,5,2,"luxurious 2 bedroom flat in alagomeji, yaba. rent: 1.5m .. ",Lagos,Lagos,Lagos Mainland,Alagomeji-Yaba,
off adeniyi jones is in a secure closeadeniyi jones ikeja lagos,650000,1,1,mini flat with a guest room and an ample parking space for letting at off ajao r.. ,Lagos,Ikeja,Ikeja,Oba Akran,
phase 1 gbagada lagos,650000,1,1,this property is located in gbagada it's consist of a decent spacious brand new .. ,Lagos,Lagos,Shomolu,Somolu,
ibidun western avenue surulere lagos,400000,1,1,"mini flat for rent @ibidun surulere off western avenue, one and half years rent... ",Lagos,Lagos,Surulere,Surulere,
