neighborhood,price,beds,baths,extra,state,locality,lga,hood,zipcode
off bode thomasbode thomas surulere lagos,1600000,2,3,newly built 2 bedroom flat for rent off bode thomas.. ,Lagos,Lagos,Surulere,Surulere,
by barracks offwestern avenue surulere lagos,500000,1,1,newly builtstandard and sizeable brand new mini flat for letting at off western avenue by b.. ,Lagos,Lagos,Surulere,Yaba,
"alagomeji, yaba.alagomeji yaba lagos",1500000,3,3,"spacious 3 bedroom all rooms ensuite flat with balcony, car park in a gated & se.. ",Lagos,Lagos,Lagos Mainland,Alagomeji-Yaba,
"shomolu, lagos.shomolu shomolu lagos",1300000,3,3,"to let: spacious 3 bedroom flat, all rooms ensuite, upstairs, with 2 balconie.. ",Lagos,Lagos,,Somolu,
ori oke ejigbo ikotun igando lagos,700000,3,3,"hot?????? new and clean 3bedrooms flats, all ensuite plus visitors toilet a.. ",Lagos,Lagos,Oshodi/Isolo,Ejigbo,
...ikeja gra ikeja lagos,2500000,5,2,newly built2bedrooms flats with boys quarter in gra ikeja rent:2.5m and service charges .. ,Lagos,Ikeja,Ikeja,Ikeja GRA,
pedro roadbariga shomolu lagos,450000,1,2,_just came out_ *miniflat* at olohunkemi str. off pedro rd. 2toilet 2bath .. ,Lagos,Oworonshoki,Shomolu,Pedro,
off toyin streettoyin street ikeja lagos,400000,1,1,"mini flat for letting at of toyin street,ikeja.the rent is 400,000 naira per anu.. ",Lagos,Ikeja,Ikeja,,
...alagomeji yaba lagos,1200000,2,2,to let 2 bedroom alagomeji upstairs flat all rooms ensuite in a good envi.. ,Lagos,Lagos,Lagos Mainland,Alagomeji-Yaba,
off victoria lslandvictoria island extension victoria island lagos,2000000,1,2,"newly builtlovely mini flat service apartment.all round tiles and pop finishing, prepaid me.. ",Lagos,Lagos,Eti Osa,Victoria Island,
baruwa ipaja lagos,400000,3,3,"???? letting lovely built 3 bedroom flats at mercy land estate, baruwa, ipaja .. ",Lagos,Lagos,Alimosho,Idimu,
lekki phase 1 lekki lagos,2000000,2,2,"if you love space and simplicity, you will love this place. located in lekki pha.. ",Lagos,Lekki,,Lekki Phase 1,
ogba lagos,400000,1,1,clean mini flat at a street off haruna for rent all round tiles #feli.. ,Lagos,Ojodu,,Ogba,
...coker road ilupeju lagos,350000,1,1,this property is located in ilupeju it's consist of a single room selfcon in a g.. ,Lagos,Ikeja,Ikeja,Ilupeju,
off bode thomasbode thomas surulere lagos,1500000,3,4,3 bedroom flat / apartment for rent off bode thomas bode thomas surulere lagos.. ,Lagos,Lagos,Surulere,Surulere,
simisola street ogunlana surulere lagos,700000,1,1,"mini flat in a serene environment with prepaid meter, upstairs, separate toilet .. ",Lagos,Lagos,Mushin,Surulere,
omole phase 2 ojodu lagos,1200000,2,3,tastefully sparkling 2bedroom flat at omole phase 2 for rent all round tiles t.. ,Lagos,Lagos,Ikeja,Isheri,
ifako ogba ogba lagos,600000,1,1,"descent and clean mini flat, 2toilet and bathroom fitted kitchen cabinets al.. ",Lagos,Ojodu,,Ogba,
"off western avenue,alaka estate surulere lagos",600000,1,1,"serviced newly builtbrand new room self contain for letting at alaka estate,surulere,lagos mainland... ",Lagos,Lagos,Surulere,Surulere,
ibudun western avenue surulere lagos,450000,1,1,"newly builtmini flat for rent @ibidun surulere off western avenue, one and half years rent .. ",Lagos,Lagos,Surulere,Surulere,
bariga shomolu lagos,250000,1,1,"*tolet* gbadada letting just out very lovely roomself at adegboye, bariga, ho.. ",Lagos,Oworonshoki,Shomolu,Bariga,
lekki phase 2 lekki lagos,600000,1,1,"newly builtbrand new mini flat at sangotedo, ajah lagos rent:600k caution:50k service ch.. ",Lagos,Lekki,,,
akoka yaba lagos,700000,1,2,this property is located at yaba in akoka precisely it's consist of a newly reno.. ,Lagos,Lagos,,Lagos Mainland,
of lawasonlawanson surulere lagos,450000,1,1,"a mini flat for rent at off lawanson,oseni street. it is a new building well bu.. ",Lagos,Lagos,Surulere,Lawanson,
pedrophase 1 gbagada lagos,2000000,3,4,"this property is located at gbagada at pedro in a serene enviroment, decent mode.. ",Lagos,Lagos,Shomolu,Somolu,
"alagomeji, yabaalagomeji yaba lagos",800000,2,2,two bedroom at adebisi alagomeji for rent two toilet two bath fitted kitchen c.. ,Lagos,Lagos,Lagos Mainland,Alagomeji-Yaba,
abule egba abule egba lagos,900000,3,3,"to let,,, spacious 3bed @ oko oba scheme 1,abule egba, 900k all rooms ens.. ",Lagos,Lagos,Alimosho,Abule Egba,
pedrophase 1 gbagada lagos,1000000,2,2,this property is located in gbagada at pedro it's consist of clean two bedroom e.. ,Lagos,Lagos,Shomolu,Somolu,
mende maryland lagos,1200000,3,4,this property is located in mende maryland its a renovated 3bedroom all ensuites.. ,Lagos,Lagos,Kosofe,Mende,
"off commercial avenue, sabo, yaba.sabo yaba lagos",1500000,2,2,"spacious 2 bedroom flat all rooms ensuite, adequate electricity, security, locat.. ",Lagos,Lagos,Lagos Mainland,Sabo yaba,
off western avenuewestern avenue surulere lagos,1000000,2,2,newly builtnewly renovated 2 bedrooms flat for [email protected] street off western avenue.. ,Lagos,Lagos,Surulere,Surulere,
"mangoro,ikejamangoro ikeja lagos",250000,1,1,"room self contain for letting at onipetesi estate,mangoro,ikeja.the rent is 250,.. ",Lagos,Lagos,Alimosho,Idi Mangoro,
"alagomeji, yaba.alagomeji yaba lagos",1200000,3,3,"3 bedroom all rooms ensuite + 1 gues room for rent in alagomeji, yaba. there .. ",Lagos,Lagos,Lagos Mainland,Alagomeji-Yaba,
off admiralty waylekki phase 1 lekki lagos,1000000,1,2,serviceda self serviced and clean miniflat bq with 2 toilets is now available for rent i.. ,Lagos,Lekki,Eti Osa,Eti-Osa,
ifako gbagada gbagada lagos,500000,2,2,this property is located at gbagada ifako two toilets kitchen cabinet wadrobes. .. ,Lagos,Lagos,Kosofe,Gbagada,100242
off admiralty waylekki phase 1 lekki lagos,1000000,1,1,servicednow renting in lekki phase one is a spacious and well maintained studio apartmen.. ,Lagos,Lekki,Eti Osa,Eti-Osa,
gbagada extensionifako gbagada gbagada lagos,500000,1,1,this property is located at gbagada in a decent and secured neighbourhood it's c.. ,Lagos,Lagos,Shomolu,Somolu,
-ogba lagos,400000,1,1,decent mini flat for rent at ogba tiled rooms floored and gated compound park.. ,Lagos,Lagos,Shomolu,Igbobi,
isaac johnfadeyi shomolu lagos,450000,1,1,a standard miniflat in a block of flats rent n450k per year (slightly negotiabl.. ,Lagos,Lagos,Shomolu,Igbobi,
"orisubare, alimoshoorisunbare alimosho lagos",500000,1,1,newly built 2bedroom nd miniflat in same compound at orisunbare for rent 2bed: .. ,Lagos,Lagos,Alimosho,Isheri Olofin,
iseyin off adeshina ijesha surulere lagos,1000000,3,4,newly builtluvly and spacious 3bed @ iseyin street off adeshina ijesha surulere upstairs al.. ,Lagos,Lagos,Surulere,Ijesha Tedo,
"alausa,ikejaalausa ikeja lagos",400000,1,1,"newly builtmini flat for letting at alausa,ikeja.the rent is 400,000 naira per anum,minimum.. ",Lagos,Ojodu,Ikeja,Agidingbi,
ayobo ipaja lagos,400000,3,3,"3bedroom. flat for rent at megida ayobo, ipaja all room ensuite with kitchen c.. ",Lagos,Lagos,Alimosho,Ayobo,
surulere lagos,400000,1,1,to let: a very clean standard mini flat at michael ogun close to ogunlana bus st.. ,Lagos,Lagos,Surulere,,
nnobikilo marsha surulere lagos,600000,1,1,"newly builtnewly built mini flat for [email protected] for rent,1 year rent.. ",Lagos,Lagos,Surulere,Animashaun,
"lavender court, off herbert macaulay way, yaba, lagos.yaba lagos",2000000,3,3,freshly built & serviced 3 bedroom all room ensuite flat + 1 room bq for rent in.. ,Lagos,Lagos,Lagos Mainland,Abule ijesha,
mende maryland lagos,750000,2,2,this property is located in mende maryland it's consist of a two bedroom with tw.. ,Lagos,Lagos,Kosofe,Mende,
...lekki phase 2 lekki lagos,1500000,1,1,newly builtvery clean room and parlour for rent at lekki all room ensuite nice room with .. ,Lagos,Lekki,Eti Osa,Eti-Osa,
iyanera. agbaraokokomaiko ojo lagos,170000,1,1,"with close proximity to the lagos state university, federal government college, .. ",Lagos,Agbara,Ado Odo/Ota,,
"off herbert macaulay way, yaba.yaba lagos",500000,1,1,portable miniflat in a gated estate in yaba. the miniflat has it's own private s.. ,Lagos,Oworonshoki,Surulere,Yaba,
precisely at phase 2 extensionphase 2 gbagada lagos,450000,2,1,this property is located in gbagada at gbagada phase 2 extension it's consist of.. ,Lagos,Lagos,Kosofe,Araromi,
"pedro road, shomolushomolu lagos",180000,1,1,*just came out* a *roomself* off pedro rd. famous bus stop pedro. fenced roun.. ,Lagos,Lagos,Shomolu,Pedro,
-ayobo ipaja lagos,530000,2,2,newly built 2bedroom in an estate at ayobo with pop finish fitted kitchen cabi.. ,Lagos,Lagos,Alimosho,Ipaja,
"in a gated & calm environment in yaba, lagos.yaba lagos",1200000,3,3,"to let. 3 bedroom flat in a good location at yaba, lagos. newly renovated a.. ",Lagos,Lagos,Lagos Mainland,Sabo yaba,100001
ayobo ipaja lagos,220000,3,2,newly built 2bedroom with three toilets with portable rooms all round tiles .. ,Lagos,Lagos,Alimosho,Ayobo,
mende maryland lagos,1600000,3,3,this property is located in mende maryland it's consist of a brand new three bed.. ,Lagos,Lagos,Kosofe,Mende,
phase 2 gbagada lagos,600000,1,2,this property is located in gbagada it's consist of a decent mini flat two toile.. ,Lagos,Lagos,Shomolu,Gbagada Phase II /Bariga/Apelehin,
"off toyin street,ikejatoyin street ikeja lagos",500000,1,1,"mini flat with 2 toilets/1 bathroom for letting at off toyin street,ikeja.the re.. ",Lagos,Ikeja,Ikeja,,
"off awolowo way,ikejaobafemi awolowo way ikeja lagos",450000,1,1,"newly renovated mini flat for letting at,off awolowo way,ikeja.the rent is 450,0.. ",Lagos,Lagos,Ikeja,,
soluyi gbagada lagos,900000,3,3,this property is located in gbagada at soluyi it's consist of a spacious three b.. ,Lagos,Lagos,Kosofe,Gbagada,
phase 2 gbagada lagos,400000,2,1,this property is located in gbgaada in phase 2 it's consist of a big single room.. ,Lagos,Lagos,Shomolu,Gbagada Phase II /Bariga/Apelehin,
gra ikejaikeja gra ikeja lagos,750000,1,1,mini flat with 2 toilets/1 bathroom and an ample parking space for letting at gr.. ,Lagos,Ikeja,Ikeja,Ikeja GRA,
...akoka yaba lagos,300000,1,1,very nice and spacious mini flat for rent at akoka yaba with all round tiles .. ,Lagos,Lagos,,Lagos Mainland,
"alapere, ketuketu lagos",450000,1,1,miniflat for rent off agidi road alapere all round tiles boreholewater newly.. ,Lagos,Lagos,Kosofe,Ketu,
abule egba lagos,300000,1,1,decent mini flat for rent at abule egba axis rent ? 300k per year in the same.. ,Lagos,Lagos,Alimosho,Abule Egba,
anthony village maryland lagos,1000000,2,2,this property is located in anthony in a secured and serene environment it's con.. ,Lagos,Lagos,,Anthony,
off lawansonlawanson surulere lagos,750000,2,3,"2bedrooms for rent ,all room ensuite off lawanson .. ",Lagos,Lagos,Surulere,Lawanson,
...baruwa ipaja lagos,300000,1,1,lovely mini flat with 2toilet all round tiles each flat has prepaid meter .. ,Lagos,Lagos,Alimosho,Idimu,
yaba gra.yaba lagos,2500000,3,3,"serviced & very spacious 3 bedroom all rooms ensuite flat in a serviced, secure .. ",Lagos,Lagos,Lagos Mainland,Yaba,100001
anthony village maryland lagos,1200000,2,3,this property is located at anthony in a serene and secured environment it's con.. ,Lagos,Lagos,,Anthony,
ikota lekkiikota lekki lagos,700000,1,1,"up for rent, is this self contain in a serene and secured neighborhood at lekki .. ",Lagos,Lekki,Eti Osa,Aja,
"onipetesi estate,mangoromangoro ikeja lagos",400000,1,1,"newly builtstandard and sizeable mini flat in a secure estate at onipetesi estate,mangoro,i.. ",Lagos,Lagos,Ikeja,Idi Mangoro,
egbeda alimosho lagos,700000,2,3,this property is located at egbeda akowonjo it's consist of a newly built spacio.. ,Lagos,Lagos,Alimosho,Egbeda/Alimosho,
"wemabod estate,ajao road,off adeniyi jonesadeniyi jones ikeja lagos",600000,1,1,"mini flat bungalow for letting at wemabod estate,ajao road,off adeniyi jones,ike.. ",Lagos,Ikeja,Ikeja,Ikeja,
.oke ira ogba lagos,300000,1,1,"mini flat for letting at oke ira,ogba lagos mainland.the rent is 300,000 naira,m.. ",Lagos,Lagos,Ikeja,Ojodu,100218
iyanera - ketuokokomaiko ojo lagos,200000,3,3,"with close proximity to the lagos state university, federal government college, .. ",Lagos,,,Ojo,
"iyanera - ketu - ijanikin, agbara - alaba internationalokokomaiko ojo lagos",250000,2,2,"newly builtwith close proximity to the lagos state university, federal government college, .. ",Lagos,Badagry,Ojo,Ojo,
anthony village maryland lagos,1000000,2,2,this property is located at anthony in a serene and secured environment it's con.. ,Lagos,Lagos,,Anthony,
off toyin streettoyin street ikeja lagos,600000,1,1,"newly builtmini flat with 2toilets/1 bathroom for letting at off toyin street,ikeja.the ren.. ",Lagos,Ikeja,Ikeja,,
ifako gbagada gbagada lagos,1000000,2,3,this property is located in gbagada in a serene and secured environment it's con.. ,Lagos,Lagos,Kosofe,Gbagada,100242
lekkilekki phase 1 lekki lagos,2500000,2,2,"furnished servicedwith a lovely view upstairs and a standby generator that runs 7pm - 7am daily, s.. ",Lagos,Lekki,,Lekki Phase 1,
jakande - shopriteosapa london lekki lagos,1800000,2,2,"furnished serviced newly builtserviced with a standby generator for steady power, this brand-new 2 bedroom apa.. ",Lagos,Lekki,Eti Osa,Lekki Penninsula II,
...akoka yaba lagos,300000,1,1,hot cake!!! room self contained at akoka yaba all round tiles in a decent env.. ,Lagos,Lagos,,Lagos Mainland,
on magodo gramagodo gra phase 1 ojodu lagos,1500000,3,3,3 bedroom flat / apartment for rent on magodo gra magodo isheri ojodu lagos.. ,Lagos,Lagos,,,
ajah lagos,800000,1,1,"serviced newly builtbeautiful well finished mini flat at ajah. all rooms ensuite with guest toilet, .. ",Lagos,Lagos,Eti Osa,Aja,
mende maryland lagos,1000000,2,2,"this property is located in mende maryland in a close street, welll secured apar.. ",Lagos,Lagos,Kosofe,Mende,
"bajulaye road, shomolushomolu lagos",400000,1,1,very decent miniflat off bajulaye road with big kitchen and cabinets upstairs .. ,Lagos,Lagos,Shomolu,Igbobi,100001
anthony village maryland lagos,450000,1,1,this property is located in anthony in a highly secured and serene environment i.. ,Lagos,Lagos,,Anthony,
...opebi ikeja lagos,1000000,1,1,"to let well furnished mini studio apartment at opebi ikeja with tv, bed, a.c.. ",Lagos,Ikeja,Ikeja,Opebi,
brown roadaguda surulere lagos,750000,2,1,big 2 bedroom flat for rent with big store @brown road.. ,Lagos,Lagos,Surulere,Surulere,
amule ayobo ipaja lagos,350000,3,3,"3 bedroom apartment for rent at amule ayobo, in an estate ,u can come in via o.. ",Lagos,Lagos,Alimosho,Ipaja,
iyanera ilogbo road - alaba international roadajangbadi ojo lagos,300000,2,2,newly builtthis brand new 2 bedroom apartment is well located in a great location with easy.. ,Lagos,Lagos,Ojo,Ojo,
"bamako estate,opposite omole phase 1omole phase 1 ojodu lagos",400000,1,1,"mini flat with an ample parking space for letting at bamako estate,ojodu.the ren.. ",Lagos,Ojodu,Ikeja,Omole Phase 1,
"wemabod estate,ajao road off adeniyi jonesadeniyi jones ikeja lagos",650000,1,1,"mini flat with an ample parking space for letting at wemabod estate,ajao road of.. ",Lagos,Ikeja,Ikeja,Ikeja,
phase 2 gbagada lagos,1800000,3,3,this property is located in gbagada inside phase1. it's consist of a three bedro.. ,Lagos,Lagos,Shomolu,Gbagada Phase II /Bariga/Apelehin,
off allen avenueallen avenue ikeja lagos,400000,1,1,"room self contain for letting at off allen avenue,ikeja.the rent is 400,000 .. ",Lagos,Ikeja,Ikeja,Allen,
off ajose adeogun street.victoria island extension victoria island lagos,1200000,1,1,"newly builtlovely room seif flat service apartment.all round tiles and pop finishing, prepa.. ",Lagos,Lagos,Eti Osa,Victoria Island,
mende maryland lagos,650000,1,2,this property is located in mende maryland .comprises of units of mini two bedr.. ,Lagos,Lagos,Kosofe,Mende,
guinness areaacme road ogba lagos,500000,1,1,"newly builtbrand new mini flat for letting at guinness,ogba,ijaye.the rent is 500,000 n.. ",Lagos,Ikeja,Ikeja,Ogba,
ogudu orike ogudu lagos,1400000,3,4,this property is located in ogudu in a secured and serene environment.its consis.. ,Lagos,Lagos,Kosofe,Ojota/Ogudu,
bishopojuelegba surulere lagos,800000,2,2,"2 bedroom flat for rent, all rooms en suite newly built, on bishop.. ",Lagos,Lagos,Surulere,Idi Oro,
phase 2 gbagada lagos,1300000,2,2,this property is located at gbagada in phase2 it's consist of relatively new jus.. ,Lagos,Lagos,Shomolu,Gbagada Phase II /Bariga/Apelehin,
...opebi ikeja lagos,400000,1,1,to let. decent room self contain in a gated compound upstairs at opebi ikeja... ,Lagos,Ikeja,Ikeja,Opebi,
afred gardenoregun ikeja lagos,1500000,1,2,this property is located in oregun at alfred garden estate in oregun its a very .. ,Lagos,Lagos,Ikeja,Oregun,
abule egba lagos,150000,1,1,a big self contain all round tiles with wardrobe and fenced gate and water at .. ,Lagos,Lagos,Alimosho,Abule Egba,
...oworonshoki gbagada lagos,300000,1,1,"a very neat self contain, room tiles with wardrobe in oworo rent n300k per.. ",Lagos,Lagos,Kosofe,Gbagada,
"yaba, lagos.yaba lagos",800000,3,3,"lovely 3 bedroom all rooms ensuite flat with wardrobes, prepaid meter, car park,.. ",Lagos,Oworonshoki,Surulere,Yaba,
...ifako gbagada gbagada lagos,300000,1,1,this property is located in gbagada at ifako it's consist of a brand new single .. ,Lagos,Lagos,Kosofe,Gbagada,100242
-aguda surulere lagos,900000,2,3,newly builtlovely newly built 2 bedrooms flat in a good serene environment @ off brown road.. ,Lagos,Lagos,Surulere,,
millenuim ups gbagada lagos,1600000,2,2,this property is located i gbagada at mellinuim estate it's consist of a relativ.. ,Lagos,Lagos,Kosofe,Gbagada,100242
chevron lekki chevron lekki lagos,1000000,1,1,1 room and parlor flat for rent at chevron with services charge all room ensuit.. ,Lagos,Lekki,Eti Osa,Lekki Penninsula II,
soluyi gbagada lagos,1200000,3,3,beautifully structured 3 bedroom apartment for rent at peace estate. sholuyi. gb.. ,Lagos,Lagos,Kosofe,Gbagada,
...sangotedo ajah lagos,450000,5,2,"servicedvery clean 2 bedroom flat at sangotedo, ajah lagos rent:450k total package 60.. ",Lagos,,Eti Osa,Ajah/Sangotedo,
...soluyi gbagada lagos,350000,1,1,this property is located in gbagada it's consist cof a brand new selfcon in gbag.. ,Lagos,Lagos,Kosofe,Gbagada,
..ogudu orike ogudu lagos,1200000,2,3,this property is located at ogudu ori oke precisely in a gated and serene estate.. ,Lagos,Lagos,Kosofe,Ogudu,100242
off mobolaji bank anthony wayshonibare estate maryland lagos,1500000,1,1,luxury mini flat for letting with an ample parking space at san shonibare estate.. ,Lagos,Lagos,Ikeja,Maryland,
"pedro road, shomolushomolu lagos",600000,2,1,"clean, spacious and newly renovated 2 bedroom flat with 2 toilets all round t.. ",Lagos,Lagos,Shomolu,Pedro,
"akoka, yaba.akoka yaba lagos",1200000,3,3,"a spacious & well thoroughly renovated 3 bedroom flat @ akoka, yaba, lagos, with.. ",Lagos,Lagos,,Lagos Mainland,
millenuim ups gbagada lagos,1200000,2,3,this property is located in gbagada in mellinuim estate it's consist of a two be.. ,Lagos,Lagos,Kosofe,Gbagada,100242
ifako gbagada gbagada lagos,1200000,3,3,this property consist of a three bedrooms located at ifako with a spacious ensui.. ,Lagos,Lagos,Kosofe,Gbagada,100242
oregun ikeja lagos,1000000,1,1,this property is located in ikeja between allen and oregun in a secured and sere.. ,Lagos,Lagos,Ikeja,Oregun,
"ketu - divine, isashi ijanikinokokomaiko ojo lagos",250000,2,2,"located in a secured environment, this apartment comes with massive space and go.. ",Lagos,Badagry,Ojo,Ojo,
"medina estate, gbagadamedina gbagada lagos",1200000,2,2,"2 bed in medina estate, all rooms ensuite upstairs apartment all round tiles.. ",Lagos,Lagos,Kosofe,Gbagada,
...ikorodu ikorodu lagos,600000,1,1,mini flat upstairs with balcony available fitted kitchen cabinets all round t.. ,Lagos,Ikorodu,Ikorodu,Ikorodu,
"onike, yaba.onike yaba lagos",1000000,4,2,3 bedroom flat with storage space in a very large compound with only 4 flats in .. ,Lagos,Lagos,Lagos Mainland,Sabo yaba,100001
okerubeabaranje ikotun igando lagos,250000,1,1,"letting magnificent mini flat new, pop ceiling at abaranje okerube ikotun.. ",Lagos,Lagos,Alimosho,Ijegun,
shomolu lagos,600000,1,1,"a sizeable mini flat @ odunlade street, somolu. with two toilets facilities al.. ",Lagos,Lagos,,Somolu,
off admiralty waylekki phase 1 lekki lagos,2500000,3,3,"servicedlocated off admiralty way, this apartment comes with spacious rooms ensuite and .. ",Lagos,Lekki,Eti Osa,Eti-Osa,
...gbagada lagos,300000,1,1,a lovely room self contain for rent at gbagada all round tiles pop finish ups.. ,Lagos,Lagos,Kosofe,Gbagada,
ifako estateifako gbagada gbagada lagos,400000,1,1,this property is located in gbagada in a secured serene environment it's consist.. ,Lagos,Lagos,Kosofe,Gbagada,100242
ifako gbagada gbagada lagos,500000,1,1,this property is located in gbagada at ifako it's consist of a decent spacious m.. ,Lagos,Lagos,Kosofe,Gbagada,100242
ifako gbagada gbagada lagos,450000,1,1,this property is located in gbagada in ifako it's cconsist of a mini flat on a t.. ,Lagos,Lagos,Kosofe,Gbagada,100242
ifako gbagada gbagada lagos,650000,1,2,this property is located in gbagada in a highly secured and serene estate it's c.. ,Lagos,Lagos,Kosofe,Gbagada,100242
off adelabuadelabu surulere lagos,1200000,2,3,2 bedroom flat for rent off adelabu surulere.. ,Lagos,Lagos,Surulere,Surulere,
"alausa,ikejaalausa ikeja lagos",450000,1,1,"mini flat for letting at alausa,ikeja.the rent is 450,000 naira per anum,minimum.. ",Lagos,Ojodu,Ikeja,Agidingbi,
anthony village maryland lagos,850000,3,3,"this property is located at anthony close to mudi lane, its a clean old building.. ",Lagos,Lagos,,Anthony,
aguda(ogba) ogba lagos,500000,1,1,just out now at ogba.......... very massive room self at back of excellence hot.. ,Lagos,Ojodu,Ikeja,Aguda,
"adeniyi jones,,ikejaadeniyi jones ikeja lagos",400000,1,1,"room self contain for letting in a secure estate at,adeniyi jones,ikeja.the rent.. ",Lagos,Lagos,Ikeja,,
kosofe kosofe ikosi lagos,350000,1,1,"*to lets* *new house* 3nos of rmself for 350k each, @ off adedoyin kos.. ",Lagos,Lagos,Kosofe,Ikosi Ketu,
babs animashaunbode thomas surulere lagos,850000,1,1,this property is located in surulere it's consist of a mini flat ensuites in a g.. ,Lagos,Lagos,Surulere,Iganmu,
akeju street shomolu shomolu lagos,250000,1,1,newly built house ?? roomself contain rent n250k per year in same building .. ,Lagos,Lagos,Shomolu,Somolu,
fola agoro yaba lagos,350000,1,1,serviced?? just in ??a serviced apartment; very clean spacious room self con. the roo.. ,Lagos,Lagos,Shomolu,,
adeniyi jones ikeja lagos,1400000,2,2,newly renovated 2bedroom flat ensuite with visitors toilet all round tiles s.. ,Lagos,Ikeja,Ikeja,,
abuleado - sobafestac amuwo odofin lagos,600000,2,2,newly builtlocated at ado-soba (festac phase 2) with proximity to amuwo odofin industrial e.. ,Lagos,Lagos,Amuwo Odofin,Satellite Town,
"yaba, lagos.yaba lagos",1200000,2,2,"standard 2 bedroom ensuite flat with a large storage room, balcony, prepaid mete.. ",Lagos,Oworonshoki,Surulere,Yaba,
 by salvationopebi ikeja lagos,400000,1,1,"mini flat for letting at opebi by salvation,ikeja lagos mainland.the rent is 400.. ",Lagos,Lagos,Ikeja,Maryland,
...lekki phase 1 lekki lagos,800000,1,1,this property is located in lekki phase 1 . price is 800k a year other charges f.. ,Lagos,Lekki,,Lekki Phase 1,
mende maryland lagos,1100000,3,3,"this property is located in mende in maryland, its consist of a 3 bedroom all en.. ",Lagos,Lagos,Kosofe,Mende,
..anthony village maryland lagos,1100000,2,3,this property is located in anthony in a serene and highly secured estate.wel fi.. ,Lagos,Lagos,,Anthony,
medina gbagada lagos,800000,2,2,this property is located in gbagada in an estate secured and serene it's consist.. ,Lagos,Lagos,Kosofe,Gbagada,
...yaba lagos,700000,1,1,miniflat for rent at yaba 700k pop finish all round tiles spacious rooms .. ,Lagos,Oworonshoki,Surulere,Yaba,
"yaba, lagos.yaba lagos",1000000,2,2,"2bedroom flat, upstairs, 2t2b, with car park, in yaba, lagos. rent: 1m .. ",Lagos,Oworonshoki,Surulere,Yaba,
"yaba, lagos.yaba lagos",450000,1,1,nice miniflat with balcony & car park in the compound. rent: 450k.. ,Lagos,Oworonshoki,Surulere,Yaba,
akoka yaba lagos,1600000,3,3,"newly builtrent: n1,600.000.00 half: n800,000.00 agency: 320k legal: 320k refundable c.. ",Lagos,Lagos,,Lagos Mainland,
ekundayo babanijiajao estate isolo lagos,900000,3,2,"3 bed apartment ,big and spacious.. ",Lagos,Lagos,Oshodi/Isolo,Ajao Estate,
abaranje ikotun lagosabaranje ikotun igando lagos,300000,4,3,executive 3 bedroom flat for rent at better life abaranje 4 toilets all room e.. ,Lagos,Lagos,Alimosho,Ijegun,
ketu lagos,1000000,2,3,newly built n tasteful 2bedroom apartment in agboyi alapere ketu price 1 m.. ,Lagos,Lagos,Kosofe,Ketu,
-ikotun ikotun igando lagos,380000,3,3,to let. newly built and well finished 3 bedroom flat at ikotun for rent with p.. ,Lagos,Lagos,Alimosho,Ikotun,
okerubeabaranje ikotun igando lagos,250000,1,1,to let mini flat at abaranje okerube ikotun rent #250 per annum (a year an.. ,Lagos,Lagos,Alimosho,Ijegun,
oke ira ogba lagos,1000000,3,3,*massive 3 bedroom flat apartment with 3 toilets and bathrooms plus additional s.. ,Lagos,Lagos,Ikeja,Ojodu,
shomolu lagos,550000,1,1,newly built miniflat 550k shomolu lagos with pop ceiling 2toilets all round.. ,Lagos,Lagos,,Somolu,
ogudu ogudu lagos,500000,1,1,this property is located in ogudu at ogudu round about area it's consist of a br.. ,Lagos,Lagos,Kosofe,Ojota/Ogudu,
ikate lekki lagos,2000000,1,2,servicedmini flat for rent. rent: 2m location: ikate service charge:450k diesel depo.. ,Lagos,,Eti Osa,Lekki/Ikate And Environs,
-ado ajah lagos,800000,3,3,newly built3bedroom flat for rent at ado road ajah with pop finish all round tiles fitte.. ,Lagos,Lagos,Eti Osa,Aja,
magodo gra phase 1 ojodu lagos,700000,1,1,*to let:* standard mini flat with 2toilet along unilag estate magodo phase1. a.. ,Lagos,Lagos,,,
"akora estate,adeniyi jonesadeniyi jones ikeja lagos",350000,1,1,"room self contain for letting at akora estate,adeniyi jones,ikeja.the rent is 35.. ",Lagos,Lagos,Ikeja,Ikeja,
"off allen avenue,ikejaallen avenue ikeja lagos",700000,1,1,"mini flat self compound for letting at off allen avenue,ikeja.the rent is 700,00.. ",Lagos,Ikeja,Ikeja,Allen,
off adelabuadelabu surulere lagos,1200000,3,3,3 bedroom flat / apartment for rent off adelabu adelabu surulere lagos.. ,Lagos,Lagos,Surulere,Surulere,
aladura estateanthony village maryland lagos,1000000,2,2,"this property is located in anthony in an estate, its consist of a two bedroom e.. ",Lagos,Lagos,Kosofe,Anthony,
maryland estate roadlsdpc maryland estate maryland lagos,800000,1,2,this property is located in maryland in a serene and secured environment it's co.. ,Lagos,Lagos,Ikeja,Maryland,
-lekki phase 1 lekki lagos,1700000,1,1,newly builtmini flat for rent at lekki all room ensuite nice room with wardrobes nice ki.. ,Lagos,Lekki,,Lekki Phase 1,
anthony village maryland lagos,800000,1,1,this property is located in anthony in a highly secured and serene environment i.. ,Lagos,Lagos,,Anthony,
"akoka, yaba.akoka yaba lagos",1100000,2,2,new spacious 2 bedroom ensuite flat. car park & prepaid meter available. .. ,Lagos,Lagos,,Lagos Mainland,
